experiment,joint_name,segment,split,rmse_rad,mae_rad,lag_s,shape_correlation,peak_error_rad,overshoot_rad,peak_velocity_error_rad_s,settling_time_s,settling_error_rad,maximum_ctrl_saturation_fraction
fixed_baseline,left_wrist_yaw_joint,peak_gesture,validation,0.25682473823268354,0.16524218684029776,0.24,0.9874924253426557,0.6548321273210269,0.0,1.2949642288561647,,,0.0159102735801669
fixed_baseline,left_wrist_yaw_joint,return_phase,fit,0.3222971806817806,0.22766586329894573,-0.42,0.9129588416663118,0.6692461348244695,0.6607921496101148,1.0464827706844804,,,0.012639319158097
fixed_baseline,left_wrist_yaw_joint,post_roll,validation,0.0003039642007622219,0.0001563870386560695,,,0.0011435228878567995,0.0011435228878567995,0.009517560986280801,,,0.0043610517978535
fixed_baseline,left_wrist_yaw_joint,full_motion,combined,0.34144891215006945,0.25208635879730285,0.38,0.9932093319647658,0.6716209093220662,0.0,1.2949642288561647,0.010203230000776387,0.0001563870386560695,0.0182918350420134
fixed_baseline,right_wrist_yaw_joint,standing_pre_roll,validation,9.345525209049783e-08,4.53766394132022e-08,,,3.735262581999049e-07,3.735262581999049e-07,0.006105422724732539,,,0.0004696282960581
fixed_baseline,right_wrist_yaw_joint,motion_onset,fit,0.43675595145332097,0.3828204094381163,0.34,0.9985979986918856,0.6695038972547955,0.0003972635908158998,1.1479044248539698,,,0.0180003667147101
fixed_baseline,right_wrist_yaw_joint,peak_gesture,validation,0.25797177461502946,0.16699177012825975,0.24,0.9877158753528741,0.654718928174702,0.0,1.2018734053329876,,,0.0159500488203305
fixed_baseline,right_wrist_yaw_joint,return_phase,fit,0.32242678902714156,0.22803816607871216,-0.54,0.9558699123780411,0.6680722570971485,0.6601197537616224,0.9698450132788353,,,0.0127625374772896
fixed_baseline,right_wrist_yaw_joint,post_roll,validation,0.0003224463871299109,0.00018399517283430216,0.16,0.9050548912275685,0.0011554668864482004,0.0011554668864482004,0.00610210132218612,,,0.0045131796122135
fixed_baseline,right_wrist_yaw_joint,full_motion,combined,0.34196779497955065,0.25317207945841025,0.38,0.9933336616868276,0.6695038972547955,0.00037771315338509977,1.2018734053329876,0.010203230000776387,0.00018399517283430216,0.0180003667147101
fixed_baseline,left_wrist_roll_joint,standing_pre_roll,validation,4.847808161328882e-14,3.0449502046765126e-14,,,1.4200099429650948e-13,1.4200099429650948e-13,0.007326126100085753,,,0.0178532507518692
fixed_baseline,left_wrist_roll_joint,motion_onset,fit,0.28534202769209366,0.2477558197579583,0.34,0.998341405327368,0.43988353304481537,0.0001844130836609996,0.8184157847533692,,,0.130341575394715
fixed_baseline,left_wrist_roll_joint,peak_gesture,validation,0.16828734946714108,0.10645455153914875,0.22,0.9869961279887919,0.4335667711419252,0.0,0.8532549263416052,,,0.2734291328895994
fixed_baseline,left_wrist_roll_joint,return_phase,fit,0.21340490620315605,0.14952689287422968,1.0,0.9174716861057161,0.4402752038035864,0.4358843581683274,0.6771194592425668,,,0.1590936923481878
fixed_baseline,left_wrist_roll_joint,post_roll,validation,0.00044559763662250406,0.000263001528242217,1.0,0.8628001272831083,0.0013776147188139017,0.0013776147188139017,0.0110542950060879,,,0.0712700142640029
fixed_baseline,left_wrist_roll_joint,full_motion,combined,0.2242622179367381,0.1639625712945262,0.38,0.9929671400303827,0.4402752038035864,0.0,0.8532549263416052,0.010203230000776387,0.000263001528242217,0.2734291328895994
fixed_baseline,right_wrist_roll_joint,standing_pre_roll,validation,2.352339521683687e-13,1.050514214308494e-13,,,1.0112006718077104e-12,1.0112006718077104e-12,0.007326126098777075,,,0.0195030301042318
fixed_baseline,right_wrist_roll_joint,motion_onset,fit,0.2875335432269855,0.25132276965474454,0.34,0.9985337293980089,0.4417003325361173,0.00022237951341459988,0.756998294893759,,,0.1267410988560767
fixed_baseline,right_wrist_roll_joint,peak_gesture,validation,0.1697146812325263,0.10811536843686982,0.22,0.9878342264321283,0.43404735771545583,0.0,0.8388884922479009,,,0.2720007736215746
fixed_baseline,right_wrist_roll_joint,return_phase,fit,0.21475888143695362,0.1511340258212362,-0.5,0.9389270925543333,0.4414950824749713,0.4371302110149295,0.6262070144010329,,,0.1530820157550713
fixed_baseline,right_wrist_roll_joint,post_roll,validation,0.00022872493417670073,0.00012297221312687308,,,0.0008261247411157002,0.0008261247411157002,0.007323717188907742,,,0.0518203654657392
fixed_baseline,right_wrist_roll_joint,full_motion,combined,0.22592519900111743,0.16617712173924304,0.38,0.9932402879746993,0.4417003325361173,0.0,0.8388884922479009,0.010203230000776387,0.00012297221312687308,0.2720007736215746
fixed_baseline,left_shoulder_yaw_joint,standing_pre_roll,validation,5.658190173103323e-13,2.94089876459339e-13,,,2.107600552414546e-12,2.107600552414546e-12,0.006105422986668932,,,0.0210284643762546
fixed_baseline,left_shoulder_yaw_joint,motion_onset,fit,0.27710638251581377,0.23348901140554515,0.24,0.9993616981138057,0.4518716053497447,0.00040179931111540036,0.8763814338008213,,,0.1071071586840094
fixed_baseline,left_shoulder_yaw_joint,peak_gesture,validation,0.19303505013645625,0.11087850944747021,0.14,0.9996414272040486,0.44326939448489633,0.0,0.9219490979819922,,,0.064908409475513
fixed_baseline,left_shoulder_yaw_joint,return_phase,fit,0.1675731808303599,0.09462055471022393,0.88,0.9882824521587947,0.44271195469995106,0.44271195469995106,0.8571500851358219,,,0.0876454721070931
fixed_baseline,left_shoulder_yaw_joint,post_roll,validation,1.619980499132022e-05,7.95727631272139e-06,,,6.359097361859946e-05,6.359097361859946e-05,0.0063143117098456,,,0.0211359388635116
