sim_time,t,joint_name,input_mode,coordinate_mapping_status,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin,at_or_beyond_limit
4.919999999999978,-8.850379783000022,waist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0010823870317433,0.0049241092326801,-0.0010823870317433,0,-0.0010805017374658748,-3.029408904517854e-07,0.3365432269998918,0.3365432269998918,0.007011317229164413,-0.488692,0.488692,0.48761149826253414,0
4.919999999999978,-8.850379783000022,waist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0129427909851074,-0.0061054229736328,-0.0129427909851074,0,-0.012944164627039678,2.250416285079735e-06,0.007463263463782264,0.007463263463782264,6.324799545578189e-05,-3.429572,2.207842,2.2207861646270395,0
4.939999999999984,-8.830379783000016,head_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,4.792213439941406e-05,0.0030689239501953,4.792213439941406e-05,0,5.19235143717977e-05,-1.1393333191544018e-05,-0.0004997642115015463,-0.0004997642115015463,0.00019221700442367164,-0.349066,0.349066,0.3490140764856282,0
4.939999999999984,-8.830379783000016,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2727570533752441,0.0061054229736328,-0.2727570533752441,0,-0.3193616775311958,0.0022080631536000634,6.903006799014273,6.903006799014273,0.19175018886150758,-0.802851,0.453786,0.48348932246880416,0
4.939999999999984,-8.830379783000016,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0298161506652832,0.0061054229736328,-0.0298161506652832,0,-0.00536504366484472,-0.0008344774827298157,-1.1200170869945327,-1.1200170869945327,0.046667378624772195,-0.261799,0.261799,0.2564339563351553,0
4.939999999999984,-8.830379783000016,left_elbow_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.1739583015441897,-0.0061054229736328,-1.1739583015441897,0,-1.1739607460672266,2.8172486392292806e-06,-1.6271566625950091,-1.6271566625950091,0.06779819427479204,-2.356194,0.0,1.1739607460672266,0
4.939999999999984,-8.830379783000016,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.3007521629333496,-0.0061054229736328,-0.3007521629333496,0,-0.33124424207900477,-0.0005579557087262212,0.7502972616827834,0.7502972616827834,0.0063584513701930795,-2.556908,2.556908,2.2256637579209952,0
4.939999999999984,-8.830379783000016,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.013709545135498,-0.0061054229736328,0.013709545135498,0,0.011740298432017227,0.0003379293093190037,0.63099276138075,0.63099276138075,0.0053473962828877114,-0.235619,2.905973,0.24735929843201723,0
4.939999999999984,-8.830379783000016,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0002875328063964,0.0061054229736328,-0.0002875328063964,0,-0.0013329773487634705,-0.00015945318884397666,0.15405003118632263,0.15405003118632263,0.001305508738867141,-1.684242,3.429572,1.6829090226512367,0
4.939999999999984,-8.830379783000016,left_knee_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.5036177635192871,-0.0061054229736328,0.5036177635192871,0,0.6301840702684651,-0.002105521201464091,-13.054643464856186,-13.054643464856186,0.11063257173606937,0.0,2.408554,0.6301840702684651,0
4.939999999999984,-8.830379783000016,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.3939399719238281,-0.0061054229736328,0.3939399719238281,0,0.39393242372149034,2.235779147650287e-06,-0.046589827117321375,-0.046589827117321375,0.0012941618643700383,-3.080506,2.033309,1.6393765762785097,0
4.939999999999984,-8.830379783000016,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0125589370727539,-0.0061054229736328,-0.0125589370727539,0,-0.012522959800931564,-1.9335673036239835e-05,1.2066837007332931,1.2066837007332931,0.03351899168703592,-0.061087,3.0456,0.04856404019906844,0
4.939999999999984,-8.830379783000016,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0085325241088867,0.0061054229736328,-0.0085325241088867,0,-0.00853266498126081,-1.8624052946373076e-08,0.4885353257069857,0.4885353257069857,0.020355638571124404,-2.556908,2.556908,2.548375335018739,0
4.939999999999984,-8.830379783000016,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0020980834960937,-0.0073261260986328,0.0020980834960937,0,0.0020980059801971374,1.6403573782103107e-07,-0.19849256588877523,-0.19849256588877523,0.09022389358580692,-0.575959,0.575959,0.5738609940198028,0
4.939999999999984,-8.830379783000016,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0181198120117187,-0.0073261260986328,-0.0181198120117187,0,-0.01811981619593835,-3.8194234644968175e-08,0.03750790064704074,0.03750790064704074,0.01704904574865488,-1.50971,0.724312,0.7424318161959383,0
4.939999999999984,-8.830379783000016,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0121755599975585,0.0061054229736328,0.0121755599975585,0,0.012175518138651906,5.3454694177414174e-08,-0.008216718240542912,-0.008216718240542912,0.0003423632600226213,-2.556908,2.556908,2.544732481861348,0
4.939999999999984,-8.830379783000016,right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2949991226196289,-0.0061054229736328,-0.2949991226196289,0,-0.3480622893026663,-5.375355658329578e-05,7.285070247473909,7.285070247473909,0.20236306242983082,-0.802851,0.453786,0.4547887106973337,0
4.939999999999984,-8.830379783000016,right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0156269073486328,0.0061054229736328,0.0156269073486328,0,0.024539483454484992,-0.00028811913812561184,-0.24688189580666886,-0.24688189580666886,0.010286745658611202,-0.261799,0.261799,0.23725951654551503,0
4.939999999999984,-8.830379783000016,right_elbow_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.171273708343506,0.0061054229736328,-1.171273708343506,0,-1.171276177296112,2.7724933378796666e-06,-1.6020482897093185,-1.6020482897093185,0.0667520120712216,-2.356194,0.0,1.171276177296112,0
4.939999999999984,-8.830379783000016,right_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2568421363830566,0.0061054229736328,-0.2568421363830566,0,-0.26956656807157403,0.0006954947663298833,-0.08797827999408575,-0.08797827999408575,0.0007455786440176759,-2.556908,2.556908,2.287341431928426,0
4.939999999999984,-8.830379783000016,right_hip_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.017681334948805937,-0.0061054229736328,-0.017681334948805937,0,-0.022045588052034156,-0.00017394954020280367,0.09684706661934805,0.09684706661934805,0.0008207378527063394,-2.905973,0.235619,0.2576645880520341,0
4.939999999999984,-8.830379783000016,right_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0135178565979003,0.0061054229736328,-0.0135178565979003,0,-0.014510178624700876,-1.9240263807842683e-05,0.3303081231142309,0.3303081231142309,0.0027992213823239908,-3.429572,1.684242,1.6987521786247008,0
4.939999999999984,-8.830379783000016,right_knee_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.4804167747497558,0.0061054229736328,0.4804167747497558,0,0.5977408610356868,-0.0010809376903587473,-11.828775456668494,-11.828775456668494,0.10024385980227536,0.0,2.408554,0.5977408610356868,0
4.939999999999984,-8.830379783000016,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.3975830078125,0.0061054229736328,0.3975830078125,0,0.3975737830324553,4.090724720558644e-06,0.02000177639072903,0.02000177639072903,0.0005556048997424731,-3.080506,2.033309,1.6357352169675448,0
4.939999999999984,-8.830379783000016,right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0129427909851074,-0.0061054229736328,0.0129427909851074,0,0.012854678363674857,4.7124577359460633e-05,-1.308971012262057,-1.308971012262057,0.03636030589616825,-3.0456,0.061087,0.04823232163632515,0
4.939999999999984,-8.830379783000016,right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0060400962829589,0.0061054229736328,0.0060400962829589,0,0.006040367773462277,-8.073266852093297e-07,-0.5309473470161725,-0.5309473470161725,0.022122806125673855,-2.556908,2.556908,2.5508676322265376,0
4.939999999999984,-8.830379783000016,right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0066757202148437,0.0073261260986328,0.0066757202148437,0,0.00667564243213269,1.4154530397945972e-07,-0.19588135732743944,-0.19588135732743944,0.08903698060338155,-0.575959,0.575959,0.5692833575678673,0
4.939999999999984,-8.830379783000016,right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0059127807617187,-0.0073261260986328,0.0059127807617187,0,0.005912825843625979,-1.004590996487587e-07,-0.04455197026222757,-0.04455197026222757,0.020250895573739804,-0.724312,1.50971,0.7302248258436259,0
4.939999999999984,-8.830379783000016,right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0081491470336914,0.0061054229736328,-0.0081491470336914,0,-0.008150434165378537,3.975942624851354e-06,0.010666916654449169,0.010666916654449169,0.0004444548606020487,-2.556908,2.556908,2.5487575658346215,0
4.939999999999984,-8.830379783000016,waist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0309069952289138,-1.32024283139604e-06,-0.0309069952289138,0,-0.030826675712087807,-5.098759507567166e-05,-0.03742935919964822,-0.03742935919964822,0.0007797783166593378,-0.314159,0.314159,0.2833323242879122,0
4.939999999999984,-8.830379783000016,waist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0010823870317433,0.0049241092326801,-0.0010823870317433,0,-0.0010805139339233887,-9.673005973314186e-07,0.33626757645353644,0.33626757645353644,0.007005574509448676,-0.488692,0.488692,0.4876114860660766,0
4.939999999999984,-8.830379783000016,waist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0129427909851074,-0.0061054229736328,-0.0129427909851074,0,-0.012944125038090252,1.5326268436264783e-06,0.0074608544737638045,0.0074608544737638045,6.322758028613393e-05,-3.429572,2.207842,2.22078612503809,0
