topic,receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,message.header.stamp.sec,message.header.stamp.nanosec,message.header.frame_id,message.header.sequence,message.header.meas_stamp.sec,message.header.meas_stamp.nanosec,message.input_source.name,message.input_source.priority,message.input_source.timeout,message.action_info.current_action.value,message.action_info.action_desc,message.action_info.status.value,message.runtime_model.waist_status,message.runtime_model.left_hand_status.value,message.runtime_model.right_hand_status.value,message.motion_status.player_state.value,message.motion_status.control_area.value,message.motion_status.motion,message.motion_status.type.value,message.servo_status.squat_enable,message.servo_status.squat_offset,message.servo_status.squat_limit,message.servo_status.head_yaw_offset,message.servo_status.head_pitch_offset,message.servo_status.waist_yaw_offset,message.servo_status.waist_pitch_offset,message.servo_status.waist_roll_offset,message.fsm_state.current_state,message.body_status.value,message.speed_status.speed_mode.value,message.speed_status.forward_bounds.min_value,message.speed_status.forward_bounds.max_value,message.speed_status.lateral_bounds.min_value,message.speed_status.lateral_bounds.max_value,message.speed_status.angular_bounds.min_value,message.speed_status.angular_bounds.max_value
/aima/mc/common/state,1786663934371894157,2026-08-13T23:32:14.371894+00:00,14071446989168,4.782424439,1786663934,368357255,1786663934368357255,2026-08-13T23:32:14.368357+00:00,,140211,0,0,0,1786663934,368357255,,140211,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934471892344,2026-08-13T23:32:14.471892+00:00,14071546987355,4.882422626,1786663934,468362463,1786663934468362463,2026-08-13T23:32:14.468363+00:00,,140212,0,0,0,1786663934,468362463,,140212,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934571760104,2026-08-13T23:32:14.571760+00:00,14071646855019,4.98229029,1786663934,568385171,1786663934568385171,2026-08-13T23:32:14.568385+00:00,,140213,0,0,0,1786663934,568385171,,140213,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934672571729,2026-08-13T23:32:14.672572+00:00,14071747666388,5.083101659,1786663934,668405255,1786663934668405255,2026-08-13T23:32:14.668405+00:00,,140214,0,0,0,1786663934,668405255,,140214,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934773061320,2026-08-13T23:32:14.773061+00:00,14071848155851,5.183591122,1786663934,768396755,1786663934768396755,2026-08-13T23:32:14.768397+00:00,,140215,0,0,0,1786663934,768396755,,140215,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934876988176,2026-08-13T23:32:14.876988+00:00,14071952083027,5.287518298,1786663934,868385047,1786663934868385047,2026-08-13T23:32:14.868385+00:00,,140216,0,0,0,1786663934,868385047,,140216,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934971609643,2026-08-13T23:32:14.971610+00:00,14072046704590,5.382139861,1786663934,968443630,1786663934968443630,2026-08-13T23:32:14.968444+00:00,,140217,0,0,0,1786663934,968443630,,140217,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663935072340045,2026-08-13T23:32:15.072340+00:00,14072147435152,5.482870423,1786663935,68392255,1786663935068392255,2026-08-13T23:32:15.068392+00:00,,140218,0,0,0,1786663935,68392255,,140218,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663935173227149,2026-08-13T23:32:15.173227+00:00,14072248322192,5.583757463,1786663935,168379672,1786663935168379672,2026-08-13T23:32:15.168380+00:00,,140219,0,0,0,1786663935,168379672,,140219,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663935272048085,2026-08-13T23:32:15.272048+00:00,14072347143032,5.682578303,1786663935,268362422,1786663935268362422,2026-08-13T23:32:15.268363+00:00,,140220,0,0,0,1786663935,268362422,,140220,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
