controller,dataset,t,joint_name,plane,total_balance_request_nm,raw_desired_allocation_weight,raw_desired_allocation_nm,priority_and_preallocation_constraint_scaling,redistributed_allocation_weight,redistributed_allocation_nm,post_contact_scaling,post_limit_scaling,post_saturation_scaling,post_rate_scaling,final_allocation_nm
PHASE3AX_BASELINE,heart,-4.8,left_ankle_pitch_joint,pitch,-0.1836921558353088,0.7,-0.12858450908471614,1.0,0.7643678160919539,-0.1404083719890579,1.0,1.0,1.0,1.0,-0.1404083719890579
PHASE3AX_BASELINE,heart,-4.8,left_ankle_roll_joint,roll,0.6448952260807225,0.7,0.4514266582565057,1.0,0.7,0.4514266582565057,1.0,1.0,1.0,1.0,0.4514266582565057
PHASE3AX_BASELINE,heart,-4.8,left_hip_pitch_joint,pitch,-0.1836921558353088,0.1,-0.01836921558353088,1.0,0.0873563218390804,-0.0160466710844637,1.0,1.0,1.0,1.0,-0.0160466710844637
PHASE3AX_BASELINE,heart,-4.8,left_hip_roll_joint,roll,0.6448952260807225,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.8,left_knee_joint,pitch,-0.1836921558353088,0.15,-0.027553823375296316,1.0,0.0982758620689655,-0.0180525049700217,1.0,1.0,1.0,1.0,-0.0180525049700217
PHASE3AX_BASELINE,heart,-4.8,right_ankle_pitch_joint,pitch,-0.1836921558353088,0.7,-0.12858450908471614,1.0,0.7643678160919539,-0.1404083719890579,1.0,1.0,1.0,1.0,-0.1404083719890579
PHASE3AX_BASELINE,heart,-4.8,right_ankle_roll_joint,roll,0.6448952260807225,0.7,0.4514266582565057,1.0,0.7,0.4514266582565057,1.0,1.0,1.0,1.0,0.4514266582565057
PHASE3AX_BASELINE,heart,-4.8,right_hip_pitch_joint,pitch,-0.1836921558353088,0.1,-0.01836921558353088,1.0,0.0873563218390804,-0.0160466710844637,1.0,1.0,1.0,1.0,-0.0160466710844637
PHASE3AX_BASELINE,heart,-4.8,right_hip_roll_joint,roll,0.6448952260807225,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.8,right_knee_joint,pitch,-0.1836921558353088,0.15,-0.027553823375296316,1.0,0.0982758620689655,-0.0180525049700217,1.0,1.0,1.0,1.0,-0.0180525049700217
PHASE3AX_BASELINE,heart,-4.8,waist_pitch_joint,pitch,-0.1836921558353088,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.8,waist_roll_joint,roll,0.6448952260807225,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.78,left_ankle_pitch_joint,pitch,0.1235505194760084,0.7,0.08648536363320587,1.0,0.7643678160919539,0.094438040748903,1.0,1.0,1.0,1.0,0.094438040748903
PHASE3AX_BASELINE,heart,-4.78,left_ankle_roll_joint,roll,0.6567904953744528,0.7,0.45975334676211693,1.0,0.7,0.4597533467621169,1.0,1.0,1.0,1.0,0.4597533467621169
